Time ,Distance,,,,
7800000,99.226867329368,313.782905844152,992.26867329368,3137.82905844152,31378.2905844152
7900000,99.8609112716282,315.787928838327,998.609112716282,3157.87928838327,31578.7928838327
8000000,100.490954816839,317.78030146628,1004.90954816839,3177.8030146628,31778.030146628
8100000,101.11707274244,319.76026019504,1011.1707274244,3197.6026019504,31976.026019504
8200000,101.739337524873,321.728034215236,1017.39337524873,3217.28034215236,32172.8034215236
8300000,102.357819437501,323.683845750757,1023.57819437501,3236.83845750757,32368.3845750757
8400000,102.972586643242,325.627910351677,1029.72586643242,3256.27910351677,32562.7910351677
8500000,103.58370528225,327.560437171524,1035.8370528225,3275.60437171524,32756.0437171524
8600000,104.191239554964,329.481629229916,1041.91239554965,3294.81629229916,32948.1629229916
8700000,104.795251800833,331.391683661494,1047.95251800833,3313.91683661494,33139.1683661494
8800000,105.395802572968,333.290791952013,1053.95802572968,3332.90791952013,33329.0791952013
8900000,105.992950708998,335.179140162391,1059.92950708998,3351.79140162391,33517.9140162391
9000000,106.586753398347,337.056909141468,1065.86753398347,3370.56909141468,33705.6909141468
9100000,107.177266246159,338.924274728146,1071.77266246159,3389.24274728146,33892.4274728146
9200000,107.764543334067,340.781407943567,1077.64543334067,3407.81407943567,34078.1407943567
9300000,108.348637278002,342.628475173912,1083.48637278002,3426.28475173912,34262.8475173912
9400000,108.929599283207,344.465638344378,1089.29599283207,3444.65638344378,34446.5638344378
9500000,109.507479196628,346.293055084852,1095.07479196628,3462.93055084852,34629.3055084852
9600000,110.08232555683,348.110878887748,1100.8232555683,3481.10878887748,34811.0878887747
9700000,110.654185641574,349.919259258475,1106.54185641574,3499.19259258475,34991.9259258475
9800000,111.223105513198,351.718341858937,1112.23105513198,3517.18341858937,35171.8341858937
9900000,111.789130061916,353.508268644455,1117.89130061916,3535.08268644455,35350.8268644455
10000000,112.352303047156,355.289177994489,1123.52303047156,3552.89177994489,35528.9177994489
