9,110,483,1090,54.52,45.09,,,-2.83, 3.53,,,,-17.07, 1.97,,,,-15.73, 1.93,,,,-14.30, 17.31,-15.74, 1.94
10,30,483,1170,47.945,51.55,,,-2.72, 3.49,,,,-16.95, 1.90,,,,-15.77, 1.87,,,,-13.58, 16.82,-15.80, 1.89
11,-50,483,1250,42.58,56.92,,,-0.78, 3.48,,,,-15.02, 1.88,,,,-13.97, 1.85,,,,-8.27, 16.63,-14.04, 1.86
12,-130,483,1330,37.47,62.46,,,0.37, 3.46,,,,-13.87, 1.85,,,,-12.95, 1.83,,,,-5.88, 16.46,-13.03, 1.84
13,-210,483,1410,32.82,67.14,,,-0.95, 3.46,,,,-15.19, 1.84,,,,-14.38, 1.83,,,,-18.59, 16.36,-14.32, 1.84
14,-290,483,1490,29.72,69.855,,,-0.36, 3.46,,,,-14.59, 1.84,,,,-13.86, 1.83,,,,-7.42, 16.44,-13.94, 1.84
15,-370,483,1570,26.38,73.39,,,-0.43, 3.48,,,,-14.66, 1.88,,,,-14.01, 1.87,,,,-14.67, 16.73,-14.00, 1.88
16,-450,483,1650,23.24,76.54,,,0.60, 3.50,,,,-13.64, 1.92,,,,-13.07, 1.91,,,,-5.59, 17.19,-13.16, 1.92
17,-530,483,1730,20.241,79.707,,,-0.19, 3.57,,,,-14.43, 2.05,,,,-13.93, 2.04,,,,-12.38, 18.31,-13.95, 2.06
18,-610,483,1810,17.025,83.089,,,-0.39, 3.61,,,,-14.62, 2.12,,,,-14.20, 2.12,,,,-14.83, 18.97,-14.19, 2.13
19,-690,483,1890,14.709,85.424,,,-1.37, 3.70,,,,-15.60, 2.26,,,,-15.24, 2.26,,,,-12.07, 19.58,-15.28, 2.19
20,-770,483,1970,11.669,88.306,,,-0.64, 3.70,,,,-14.88, 2.26,,,,-14.59, 2.26,,,,-13.85, 20.29,-14.60, 2.28
21,-850,483,2050,9.454,90.43,,,0.66, 3.74,,,,-13.57, 2.32,,,,-13.34, 2.32,,,,-12.37, 20.81,-13.35, 2.34
22,-930,483,2130,7.55,92.438,,,1.04, 3.78,,,,-13.20, 2.39,,,,-13.01, 2.39,,,,-15.39, 21.33,-12.98, 2.40
23,-1010,483,2210,5.953,94.108,,,0.98, 3.80,,,,-13.26, 2.43,,,,-13.11, 2.43,,,,-12.94, 21.73,-13.11, 2.44
24,-1090,483,2290,4.75,95.3,,,-0.62, 3.82,,,,-14.86, 2.45,,,,-14.74, 2.45,,,,-15.04, 21.93,-14.74, 2.46
25,-1170,483,2370,3.605,96.368,,,-2.32, 3.84,,,,-16.56, 2.49,,,,-16.47, 2.49,,,,-34.62, 22.14,-16.24, 2.51
26,-1250,483,2450,2.84,97.11,,,0.26, 3.87,,,,-13.98, 2.54,,,,-13.91, 2.54,,,,-12.70, 22.76,-13.92, 2.56
27,-1330,483,2530,2.03,97.86,,,-0.63, 3.88,,,,-14.87, 2.54,,,,-14.82, 2.54,,,,-22.94, 22.70,-14.72, 2.56
28,-1410,483,2610,1.61,98.45,,,2.43, 3.88,,,,-11.81, 2.55,,,,-11.77, 2.55,,,,-12.99, 22.82,-11.75, 2.57
29,-1509,504,2711,1.489,98.587,,,0.83, 3.86,,,,-13.40, 2.52,,,,-13.37, 2.52,,,,-11.00, 22.59,-13.40, 2.54
30,-1570,483,2776,1.44,98.81,,,-3.09, 3.63,,,,-17.33, 2.15,,,,-17.29, 2.15,,,,-0.75, 19.44,-17.50, 2.16
31,-1650,483,2856,1.31,98.64,,,0.05, 3.60,,,,-14.18, 2.09,,,,-14.15, 2.09,,,,-2.93, 18.82,-14.29, 2.10
,,,3306,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Yellow highlight indicates a jump in beam current during the measurements.  Spots should probably be eliminated from published data.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FNDA-2,,,,,,,,,,,,,,,,,,,,,,,,,,
Nickel Profile #2,,,,,,,,Mtarix-corrected and,,,,,Matrix-corrected ratios,,,,,Uncorrected data,,,,,,,,
"Data collected November, 2014",,,,,,,,Internally standardized ratios,,,,,No correction for instrumental fractionation,,,,,No matrix correction or correction for instrumental fractionation,,,,,,,,
,,,Distance,,,,,,,,,,,,,,,,,,,,,,,
Spot Number,Position X,Position Y,From Edge,Fe,Ni,,,d62Ni/60Ni ‰ / amu,2smean,,,,d62Ni/60Ni ‰ / amu,2smean,,,,d62Ni/60Ni ‰ / amu,2smean,,,,,,,
,,,0,,,,,,,,,,,,,,,,,,,,,,,
1,1196,400,464,98.652,0.948,,,-0.74, 4.44,,,,-15.01, 4.12,,,,-12.68, 4.07,,,,,,,
2,1121,402,539,98.808,0.948,,,-5.47, 3.50,,,,-19.75, 3.10,,,,-17.41, 3.03,,,,,,,
3,1046,405,614,97.626,1.735,,,-6.36, 3.24,,,,-20.64, 2.79,,,,-18.33, 2.72,,,,,,,
4,971,408,689,95.82,3.658,,,-8.35, 2.74,,,,-22.62, 2.19,,,,-20.36, 2.10,,,,,,,
5,896,410,764,90.923,8.818,,,-11.12, 2.34,,,,-25.39, 1.66,,,,-23.24, 1.55,,,,,,,
6,821,412,839,81.195,18.215,,,-8.50, 2.16,,,,-22.78, 1.41,,,,-20.85, 1.30,,,,,,,
7,746,415,914,71.144,28.484,,,-6.73, 2.10,,,,-21.01, 1.31,,,,-19.32, 1.22,,,,,,,
8,671,418,989,61.488,38.123,,,-3.12, 1.92,,,,-17.39, 0.99,,,,-15.94, 0.90,,,,,,,
9,596,420,1064,54.520,45.090,,,-2.80, 1.87,,,,-17.07, 0.88,,,,-15.78, 0.81,,,,,,,
10,521,422,1139,48.374,51.12,,,-0.93, 2.01,,,,-15.21, 1.16,,,,-14.06, 1.12,,,,,,,
11,446,425,1214,42.902,56.598,,,-0.95, 1.94,,,,-15.23, 1.03,,,,-14.21, 0.99,,,,,,,
12,371,428,1289,38.062,61.848,,,-0.86, 1.82,,,,-15.13, 0.77,,,,-14.23, 0.73,,,,,,,
13,296,430,1365,33.454,66.51,,,-0.36, 1.97,,,,-14.63, 1.09,,,,-13.84, 1.06,,,,,,,
14,221,432,1440,30.365,69.158,,,0.53, 1.92,,,,-13.75, 1.00,,,,-13.03, 0.98,,,,,,,
15,146,435,1515,26.995,72.748,,,0.60, 1.89,,,,-13.67, 0.94,,,,-13.03, 0.92,,,,,,,
16,71,438,1590,24.592,75.172,,,-0.16, 2.93,,,,-14.44, 2.42,,,,-13.86, 2.42,,,,,,,
