Term,AY,Semester,Crn1,Crn2,School,Course1,Course2,Level,Schedule,Enroll
201530,2014-15,Fall,32412,,BD,ECON101,,Undergraduate,Lecture,25
201530,2014-15,Fall,32413,,BD,ECON101,,Undergraduate,Lecture,27
201530,2014-15,Fall,32415,,BD,ECON101,,Undergraduate,Lecture,25
201530,2014-15,Fall,32417,,BD,ECON101,,Undergraduate,Lecture,30
201530,2014-15,Fall,32418,,BD,ECON201,,Undergraduate,Lecture,12
201530,2014-15,Fall,32419,,BD,ECON101,,Undergraduate,Lecture,26
201530,2014-15,Fall,32420,,BD,ECON202,,Undergraduate,Lecture,24
201530,2014-15,Fall,32421,,BD,ECON202,,Undergraduate,Lecture,23
201530,2014-15,Fall,32427,,BD,MRKT336,,Undergraduate,Lecture,23
201530,2014-15,Fall,32429,,AD,LATN101,,Undergraduate,Lecture,10
201530,2014-15,Fall,32431,,BD,ECON101,,Undergraduate,Lecture,16
201530,2014-15,Fall,32436,,AD,ATDV110,,Undergraduate,Lecture,27
201530,2014-15,Fall,32438,,BD,BUDV450,,Undergraduate,Lecture,19
201530,2014-15,Fall,32439,,GB,MACC542,,Graduate,Lecture,20
201530,2014-15,Fall,32441,,BD,MGMT300,,Undergraduate,Lecture,27
201530,2014-15,Fall,32442,,BD,BUDV310,,Undergraduate,Lecture,11
201530,2014-15,Fall,32445,,AD,COMD300,,Undergraduate,Practicum,3
201530,2014-15,Fall,32446,,AD,CREA103,,Undergraduate,Lecture,25
201530,2014-15,Fall,32450,,SD,CSIS019,,Undergraduate,Lecture,3
201530,2014-15,Fall,32461,,AD,COMD280,,Undergraduate,Internship,10
201530,2014-15,Fall,32462,,AD,COMD280,,Undergraduate,Internship,6
201530,2014-15,Fall,32463,,AD,COMD280,,Undergraduate,Internship,7
201530,2014-15,Fall,32465,,AD,COMD280,,Undergraduate,Internship,29
201530,2014-15,Fall,32466,,AD,COMD300,,Undergraduate,Practicum,11
201530,2014-15,Fall,32470,,SD,MATH110,,Undergraduate,Lecture,33
201530,2014-15,Fall,32478,,AD,PHIL101,,Undergraduate,Lecture,25
201530,2014-15,Fall,32479,,AD,PHIL101,,Undergraduate,Lecture,25
201530,2014-15,Fall,32482,,AD,PSYC300,,Undergraduate,Lab,8
201530,2014-15,Fall,32483,,IN,STGB350,,Undergraduate,Lecture,1
201530,2014-15,Fall,32486,,AD,PSYC100,,Undergraduate,Lecture,25
201530,2014-15,Fall,32502,,SD,CHEM210,,Undergraduate,Lab,16
201530,2014-15,Fall,32505,,AD,PHIL103,,Undergraduate,Lecture,25
201530,2014-15,Fall,32507,,SD,PHYS130,,Undergraduate,Lecture,21
201530,2014-15,Fall,32508,,SD,PHYS130,,Undergraduate,Lab,18
201530,2014-15,Fall,32518,,SD,SCDV001,,Undergraduate,Lecture,21
201530,2014-15,Fall,32519,,SD,SCDV001,,Undergraduate,Lecture,17
201530,2014-15,Fall,32520,,SC,LEAP102,,Undergraduate,Lecture,54
201530,2014-15,Fall,32521,,AD,ATDV250,,Undergraduate,Lecture,35
201530,2014-15,Fall,32526,,BD,QBUS100,,Undergraduate,Lecture,23
201530,2014-15,Fall,32527,,BD,QBUS100,,Undergraduate,Lecture,20
201530,2014-15,Fall,32528,,AD,HIST101,,Undergraduate,Lecture,24
201530,2014-15,Fall,32530,,BD,FINC301,,Undergraduate,Lecture,26
201530,2014-15,Fall,32531,,AD,ENGL011,,Undergraduate,Lecture,25
201530,2014-15,Fall,32532,,AD,ENGL011,,Undergraduate,Lecture,26
201530,2014-15,Fall,32533,,AD,PHIL103,,Undergraduate,Lecture,26
201530,2014-15,Fall,32534,,AD,PHIL103,,Undergraduate,Lecture,25
201530,2014-15,Fall,32536,,AD,RELG121,,Undergraduate,Lecture,26
201530,2014-15,Fall,32539,,BD,QBUS100,,Undergraduate,Lecture,19
201530,2014-15,Fall,32541,,BD,MGMT329,,Undergraduate,Lecture,22
201530,2014-15,Fall,32546,,BD,ACCT200,,Undergraduate,Lecture,27
201530,2014-15,Fall,32547,,BD,ACCT200,,Undergraduate,Lecture,27
201530,2014-15,Fall,32548,,BD,ACCT200,,Undergraduate,Lecture,20
201530,2014-15,Fall,32560,,GB,MACC500,,Graduate,Lecture,14
201530,2014-15,Fall,32600,,BD,MGMT113,,Undergraduate,Lecture,20
201530,2014-15,Fall,32625,,AD,SWRK410,,Undergraduate,Practicum,8
201530,2014-15,Fall,32626,,AD,SWRK410,,Undergraduate,Practicum,7
201530,2014-15,Fall,32627,,AD,SWRK466,,Undergraduate,Lecture,15
201530,2014-15,Fall,32628,,AD,SWRK466,,Undergraduate,Lecture,7
201530,2014-15,Fall,32629,,AD,SWRK453,,Undergraduate,Lecture,5
201530,2014-15,Fall,32630,,AD,HIST378,,Undergraduate,Lecture,25
201530,2014-15,Fall,32631,,AD,HIST394,,Undergraduate,Lecture,19
201530,2014-15,Fall,32632,,IN,FYSM100,,Undergraduate,Lecture,14
201530,2014-15,Fall,32634,,IN,FYSM100,,Undergraduate,Lecture,20
201530,2014-15,Fall,32636,,IN,FYSM100,,Undergraduate,Lecture,19
201530,2014-15,Fall,32638,,AD,HIST401,,Undergraduate,Lecture,11
201530,2014-15,Fall,32640,,IN,FYSM100,,Undergraduate,Lecture,19
201530,2014-15,Fall,32650,,IN,FYSM100,,Undergraduate,Lecture,18
201530,2014-15,Fall,32651,,IN,FYSM100,,Undergraduate,Lecture,19
201530,2014-15,Fall,32653,,IN,FYSM100,,Undergraduate,Lecture,19
201530,2014-15,Fall,32656,,AD,PSYC100,,Undergraduate,Lecture,25
201530,2014-15,Fall,32657,,AD,PSYC300,,Undergraduate,Lab,8
201530,2014-15,Fall,32658,,AD,PSYC310,,Undergraduate,Lecture,16
201530,2014-15,Fall,32659,,AD,PSYC310,,Undergraduate,Lecture,15
201530,2014-15,Fall,32660,,AD,PSYC340,,Undergraduate,Lecture,25
201530,2014-15,Fall,32661,,AD,PSYC345,,Undergraduate,Lecture,29
201530,2014-15,Fall,32662,,AD,PSYC370,,Undergraduate,Lecture,30
201530,2014-15,Fall,32663,,AD,PSYC370,,Undergraduate,Lecture,30
201530,2014-15,Fall,32664,,AD,PSYC375,,Undergraduate,Lecture,27
201530,2014-15,Fall,32665,,AD,AMSL101,,Undergraduate,Lecture,15
201530,2014-15,Fall,32667,,BD,MGMT439,,Undergraduate,Lecture,27
201530,2014-15,Fall,32668,,AD,CLSS210,,Undergraduate,Lecture,24
201530,2014-15,Fall,32670,,BD,MGMT336,,Undergraduate,Lecture,17
201530,2014-15,Fall,32671,,AD,CLSS320,,Undergraduate,Lecture,35
201530,2014-15,Fall,32673,,AD,FREN027,,Undergraduate,Lecture,18
201530,2014-15,Fall,32676,,AD,GERM027,,Undergraduate,Lecture,19
201530,2014-15,Fall,32678,,BD,BUDV210,,Undergraduate,Lecture,17
201530,2014-15,Fall,32679,,AD,SOCI101,,Undergraduate,Lecture,22
201530,2014-15,Fall,32680,,AD,SOCI190,,Undergraduate,Lecture,20
201530,2014-15,Fall,32681,,AD,SOCI376,,Undergraduate,Lecture,19
201530,2014-15,Fall,32682,,AD,SOCI385,,Undergraduate,Lecture,10
201530,2014-15,Fall,32683,,AD,SOCI490,,Undergraduate,Seminar,10
201530,2014-15,Fall,32684,,BD,FINC490,,Undergraduate,Seminar,14
201530,2014-15,Fall,32685,,AD,SOCI170,,Undergraduate,Seminar,19
201530,2014-15,Fall,32686,,SD,MATH440,,Undergraduate,Lecture,8
201530,2014-15,Fall,32687,,AD,PHIL101,,Undergraduate,Lecture,23
201530,2014-15,Fall,32688,,AD,PHIL210,,Undergraduate,Lecture,17
201530,2014-15,Fall,32690,,AD,PHIL285,,Undergraduate,Lecture,11
