Electron Microprobe Data,, 96 hours,1400 C,,,,,Isotope Data,,,,,,,
,Fe,Ni,Total,x,y,z,,,,,,,,,
FNDA_2_profile (Line)  Pt 1,,,,,,,,,,,,,,,
1.62,0.964954,98.61167,99.57662,13478,1503,-104, ,FNDA-2,Fe A %,Ni A %,del Fe  ä/amu,error,,del Ni ä/amu-2,error
0.435,18.80579,81.56964,100.3754,13478,318,-98, ,,1.0164,67.35,32.65,-0.09267,0.1155,,1.331,20.11,79.91,0.7298
0.42,19.34908,80.90117,100.2502,13478,303,-98, ,,1.0395,68.75,31.23,-0.28993,0.1386,,1.3613,18.86,81.16,0.7656
0.405,19.92565,80.2333,100.1589,13478,288,-97, ,,1.0626,70.11,29.86,-0.49424,0.1617,,1.3915,17.64,82.38,0.7942
0.39,20.53694,79.83569,100.3726,13478,273,-97, ,,1.0857,71.43,28.54,-0.70588,0.1848,,1.4218,16.46,83.56,0.81585
0.375,21.13945,78.89149,100.0309,13478,258,-97, ,,1.1088,72.71,27.25,-0.92518,0.2079,,1.452,15.32,84.7,0.83078
0.36,21.75548,78.21794,99.97342,13478,243,-97, ,,1.1319,73.95,26,-1.15252,0.231,,1.4822,14.22,85.8,0.83922
0.345,22.50789,78.06067,100.5686,13478,228,-97, ,,1.155,75.16,24.78,-1.38828,0.2541,,1.5125,13.16,86.86,0.84139
0.33,23.14093,77.28008,100.421,13478,213,-97, ,,1.1781,76.34,23.6,-1.63289,0.2772,,1.5428,12.14,87.88,0.83751
0.315,23.84885,76.70573,100.5546,13478,198,-97, ,,1.2012,77.48,22.44,-1.8868,0.3003,,1.573,11.16,88.86,0.82784
0.3,24.45825,76.08148,100.5397,13478,183,-97, ,,1.2243,78.6,21.31,-2.15048,0.3234,,1.6032,10.22,89.8,0.81267
0.285,25.04892,75.37024,100.4192,13478,168,-97, ,,1.2474,79.7,20.22,-2.4244,0.3465,,1.6335,9.33,90.69,0.79235
0.27,25.58371,75.03099,100.6147,13478,153,-97, ,,1.2705,80.76,19.14,-2.70904,0.3696,,1.6638,8.49,91.53,0.76725
0.255,26.50771,74.15721,100.6649,13478,138,-97, ,,1.2936,81.8,18.1,-3.00488,0.3927,,1.694,7.7,92.32,0.73783
0.24,27.30416,73.17272,100.4769,13478,123,-97, ,,1.3167,82.82,17.08,-3.31237,0.4158,,1.7243,6.95,93.07,0.70459
0.225,28.02383,72.88969,100.9135,13478,108,-97, ,,1.3398,83.81,16.09,-3.63192,0.4389,,1.7545,6.26,93.76,0.6681
0.21,28.45014,71.8974,100.3475,13478,93,-96, ,,1.3629,84.77,15.12,-3.96387,0.462,,1.7847,5.62,94.4,0.62898
0.195,29.34936,70.77231,100.1217,13478,78,-96, ,,1.386,85.71,14.18,-4.30847,0.4851,,1.815,5.04,94.98,0.58786
0.18,30.16827,70.51086,100.6791,13478,63,-96, ,,1.4091,86.62,13.27,-4.66586,0.5082,,1.8453,4.5,95.51,0.54543
0.165,30.97348,69.64568,100.6192,13478,48,-96, ,,1.4322,87.5,12.39,-5.03599,0.5313,,1.8755,4.02,95.99,0.50235
0.15,31.78505,68.86359,100.6486,13478,33,-96, ,,1.4553,88.35,11.54,-5.41859,0.5544,,1.9058,3.59,96.42,0.45927
0.135,32.48948,68.33669,100.8262,13478,18,-96, ,,1.4784,89.17,10.71,-5.81308,0.5775,,1.936,3.21,96.8,0.41682
