Electron Microprobe Data,,,,,,Isotope Data,,,,,
No. ,   Fe    ,   Ni    ,  Total  ,x(mm),,Pos X,X',Fe wt%,del Fe ä/amu,del Fe +19.5,error
210,100.696,0,100.696,0.66
211,100.819,0.014,100.833,0.67
212,100.608,0,100.608,0.68
213,100.595,0,100.595,0.69
214,100.786,0.008,100.794,0.7
215,100.719,0.015,100.734,0.71
216,100.491,0,100.491,0.72
217,100.578,0,100.578,0.73
218,100.04,0.002,100.042,0.74
219,100.227,0.006,100.233,0.75
220,100.261,0,100.261,0.76
221,100.291,0,100.291,0.77
222,100.488,0,100.488,0.78
223,100.702,0,100.702,0.79
224,100.588,0.01,100.598,0.8
225,100.426,0,100.426,0.81
226,86.106,0.474,86.58,0.82
227,100.729,0.013,100.742,0.83
228,100.55,0,100.55,0.84
229,100.331,0,100.331,0.85
230,100.305,0,100.305,0.86
231,100.297,0.006,100.303,0.87
232,100.274,0,100.274,0.88
