NAME,MUNI_TYPE,POP_1990,POP_2000,POP_2010,Pop_Density_1990,Pop_Density_2000,Pop_Density_2010,Pop_Dens_change_90-00,Pop_Dens_change_00-10,Pop_Dens_change_90-10,Area_square_miles,Longitude,Latitude
Lewis,town,1057,1200,1382,12.564,14.264,16.427,1.700,2.163,3.863,84.128,-73.571623,44.30135
Lewis,town,858,857,854,13.190,13.175,13.129,-0.015,-0.046,-0.061,65.047,-75.561138,43.479283
Lewisboro,town,11313,12324,12411,386.121,420.628,423.597,34.506,2.969,37.476,29.299,-73.582799,41.269544
Lewiston,town,15453,16257,16262,306.010,321.931,322.030,15.921,0.099,16.020,50.498,-78.967443,43.176491
Lexington,town,835,830,805,10.424,10.362,10.050,-0.062,-0.312,-0.375,80.101,-74.358827,42.20053
Leyden,town,1796,1792,1785,53.571,53.451,53.243,-0.119,-0.209,-0.328,33.526,-75.378919,43.533971
Liberty,town,9825,9632,9885,121.789,119.396,122.533,-2.392,3.136,0.744,80.672,-74.777478,41.813179
Lima,town,4187,4541,4305,131.053,142.134,134.747,11.080,-7.387,3.693,31.949,-77.610051,42.893708
Lincklaen,town,486,416,396,18.514,15.848,15.086,-2.667,-0.762,-3.429,26.250,-75.842959,42.682696
Lincoln,town,1669,1818,2012,66.763,72.724,80.484,5.960,7.760,13.721,24.999,-75.733081,43.032507
Lindley,town,1862,1913,1967,49.332,50.683,52.113,1.351,1.431,2.782,37.745,-77.141849,42.045207
Lisbon,town,3746,4047,4102,32.909,35.554,36.037,2.644,0.483,3.128,113.828,-75.318752,44.710639
Lisle,town,2486,2707,2751,52.501,57.169,58.098,4.667,0.929,5.596,47.351,-76.053919,42.362158
Litchfield,town,1414,1453,1513,47.359,48.665,50.674,1.306,2.010,3.316,29.857,-75.154378,42.973303
Little Falls,city,5829,5188,4946,1487.930,1324.307,1262.533,-163.624,-61.774,-225.398,3.918,-74.856365,43.045011
Little Falls,town,1635,1544,1587,73.740,69.636,71.575,-4.104,1.939,-2.165,22.172,-74.890704,43.021826
Little Valley,town,1881,1788,1740,63.247,60.120,58.506,-3.127,-1.614,-4.741,29.741,-78.761625,42.226677
Livingston,town,3582,3424,3646,92.007,87.948,93.651,-4.058,5.702,1.644,38.932,-73.79547,42.140447
Livonia,town,6804,7286,7809,165.835,177.583,190.330,11.748,12.747,24.495,41.029,-77.65222,42.809085
Lloyd,town,9231,9941,10863,276.306,297.558,325.156,21.252,27.598,48.850,33.409,-73.996044,41.728877
Locke,town,1917,1900,1951,78.434,77.738,79.825,-0.696,2.087,1.391,24.441,-76.413453,42.656828
Lockport,city,24426,22279,21165,2845.284,2595.189,2465.423,-250.095,-129.765,-379.860,8.585,-78.696825,43.169928
Lockport,town,16596,19653,20529,369.640,437.728,457.239,68.088,19.511,87.599,44.898,-78.676941,43.15792
Lodi,town,1429,1476,1550,35.952,37.135,38.997,1.182,1.862,3.044,39.747,-76.829198,42.585981
